CRASH DATETIME,DAY OF WEEK CODE,DAY OF WEEK DESCRIPTION,CRASH CLASSIFICATION CODE,CRASH CLASSIFICATION DESCRIPTION,COLLISION ON PRIVATE PROPERTY,PEDESTRIAN INVOLVED,MANNER OF IMPACT CODE,MANNER OF IMPACT DESCRIPTION,ALCOHOL INVOLVED,DRUG INVOLVED,ROAD SURFACE CODE,ROAD SURFACE DESCRIPTION,LIGHTING CONDITION CODE,LIGHTING CONDITION DESCRIPTION,WEATHER 1 CODE,WEATHER 1 DESCRIPTION,WEATHER 2 CODE,WEATHER 2 DESCRIPTION,SEATBELT USED,MOTORCYCLE INVOLVED,MOTORCYCLE HELMET USED,BICYCLED INVOLVED,BICYCLE HELMET USED,LATITUDE,LONGITUDE,PRIMARY CONTRIBUTING CIRCUMSTANCE CODE,PRIMARY CONTRIBUTING CIRCUMSTANCE DESCRIPTION,SCHOOL BUS INVOLVED CODE,SCHOOL BUS INVOLVED DESCRIPTION,WORK ZONE,WORK ZONE LOCATION CODE,WORK ZONE LOCATION DESCRIPTION,WORK ZONE TYPE CODE,WORK ZONE TYPE DESCRIPTION,WORKERS PRESENT,the_geom,COUNTY CODE,COUNTY NAME,YEAR
2013 Dec 09 12:11:00 AM,1,Sunday,1,Non-Reportable,N,N,0,Not a collision between two vehicles,N,N,3,Snow,1,Daylight,6,Snow,,,N,N,N,N,N,39.66676,-75.66701,19,"Other environmental circumstances - weather, glare",0,No,N,,,,,N,POINT (-75.667009999555 39.666759999893),N,New Castle,2013
2013 Apr 09 02:33:00 AM,2,Monday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,5,Dark-Not Lighted,1,Clear,,,Y,N,N,N,N,38.46354,-75.18086,17,Animal in Roadway - Deer,0,No,N,,,,,N,POINT (-75.180859999997 38.46353999988),S,Sussex,2013
2013 Jun 18 09:25:00 PM,3,Tuesday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,2,Wet,1,Daylight,4,Rain,,,Y,N,N,N,N,38.76019,-75.20255,11,"Driver inattention, distraction, or fatigue",0,No,N,,,,,N,POINT (-75.202550000398 38.760189999762),S,Sussex,2013
2015 Dec 31 05:40:00 PM,5,Thursday,1,Non-Reportable,Y,N,6,Rear to side,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.4583,-75.71678,14,Improper backing,0,No,N,,,,,N,POINT (-75.716779999943 39.458299999673),N,New Castle,2015
2011 Aug 10 05:30:00 AM,4,Wednesday,1,Non-Reportable,Y,N,,,N,N,,,,,,,,,Y,N,N,N,N,38.45159,-75.06365,11,"Driver inattention, distraction, or fatigue",0,No,N,,,,,N,POINT (-75.063650000139 38.451590000068),S,Sussex,2011
2009 Aug 11 01:17:00 PM,3,Tuesday,3,Personal Injury Crash,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,38.8910911,-75.388309,,,0,No,N,,,,,N,POINT (-75.388308999587 38.891091099824),S,Sussex,2009
2014 Dec 19 11:03:00 PM,6,Friday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,5,Dark-Not Lighted,1,Clear,,,Y,N,N,N,N,38.60127,-75.34984,88,Other,0,No,N,,,,,N,POINT (-75.349840000407 38.601270000029),S,Sussex,2014
2015 Oct 25 07:21:00 PM,1,Sunday,3,Personal Injury Crash,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.69363,-75.65282,4,Disregard Traffic Signal,0,No,N,,,,,N,POINT (-75.652820000223 39.693630000031),N,New Castle,2015
2015 Sep 04 07:23:00 PM,6,Friday,2,Property Damage Only,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.68564,-75.74698,2,Failed to yield right of way,0,No,N,,,,,N,POINT (-75.746979999746 39.685640000171),N,New Castle,2015
2013 Jan 27 09:48:00 PM,1,Sunday,1,Non-Reportable,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,1,Clear,1,Clear,Y,N,N,N,N,39.73661,-75.56915,11,"Driver inattention, distraction, or fatigue",0,No,N,,,,,N,POINT (-75.569150000175 39.73660999988),N,New Castle,2013
2015 Jul 08 11:59:00 AM,4,Wednesday,2,Property Damage Only,N,N,3,Angle,N,N,1,Dry,1,Daylight,2,Cloudy,,,Y,N,N,N,N,39.75086,-75.55517,7,Improper lane change,0,No,N,,,,,N,POINT (-75.555170000007 39.750859999976),N,New Castle,2015
2015 Nov 09 04:56:00 PM,2,Monday,2,Property Damage Only,N,N,6,Rear to side,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,38.72145,-75.28494,14,Improper backing,0,No,N,,,,,N,POINT (-75.284939999981 38.721449999876),S,Sussex,2015
2009 Oct 08 07:30:00 PM,5,Thursday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.6821753,-75.7471176,,,0,No,N,,,,,N,POINT (-75.747117600088 39.682175300153),N,New Castle,2009
2015 Sep 09 09:01:00 PM,4,Wednesday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.32221,-75.62034,7,Improper lane change,0,No,N,,,,,N,POINT (-75.620339999872 39.322210000304),N,New Castle,2015
2015 Dec 06 06:24:00 PM,1,Sunday,1,Non-Reportable,Y,N,99,Unknown,N,N,1,Dry,1,Daylight,1,Clear,,,N,N,N,N,N,39.81798,-75.4568,99,Unknown,0,No,N,,,,,N,POINT (-75.456800000091 39.817979999771),N,New Castle,2015
2015 Feb 21 05:42:00 AM,7,Saturday,1,Non-Reportable,Y,N,0,Not a collision between two vehicles,Y,N,1,Dry,5,Dark-Not Lighted,6,Snow,2,Cloudy,Y,N,N,N,N,39.5391,-75.66809,10,Driving under the influence,0,No,N,,,,,N,POINT (-75.668090000004 39.539100000121),N,New Castle,2015
