CUID,System Code,Rd_Number,Rd_Section,City_Street,Crash Date,Crash Time,Agency Id,City,County,Latitude,Longitude,Location 1,Link,Location 2,Location,Road Description,First HE,Second HE,Third HE,Fourth HE,MHE,Crash Type,Approach Overtaking Turn,Wild Animal,Number Killed,Number Injured,Injury 00,Injury 01,Injury 02,Injury 03,Injury 04,Total Vehicles,Secondary Crash,Construction Zone,School Zone,Road Contour Curves,Road Contour Grade,Road Condition,Lighting Conditions,Weather Condition,Weather Condition 2,Lane Position,TU-1 Direction,TU-2 Direction,TU-1 Movement,TU-2 Movement,TU-1 Type,TU-2 Type,TU-1 Special Function,TU-2 Special Function,TU-1 Autonomous Vehicle,TU-2 Autonomous Vehicle,TU-1 Hit And Run,TU-2 Hit And Run,TU-1 Speed Limit,TU-2 Speed Limit,TU-1 Estimated Speed,TU-2 Estimated Speed,TU-1 Speed,TU-2 Speed,TU-1 Driver Action,TU-2 Driver Action,TU-1 Human Contributing Factor,TU-2 Human Contributing Factor,TU-1 Age,TU-2 Age,TU-1 Sex ,TU-2 Sex,TU-1 Safety System Available ,TU-2 Safety System Available ,TU-1 Safety restraint Use,TU-2 Safety restraint Use,TU-1 Safety Helmet,TU-2  Safety Helmet,TU-1 Alcohol Suspected,TU-2 Alcohol Suspected,TU-1  Marijuana Suspected,TU-2 Marijuana Suspected,TU-1 Other Drugs Suspected ,TU-2 Other Drugs Suspected ,TU-1 NM Direction,TU-2 NM Direction,TU-1 NM Movement,TU-2 NM Movement,TU-1 NM Facility Available,TU-2 NM Facility Available,TU-1 NM Location ,TU-2 NM Location ,TU-1 NM Type,TU-2 NM Type,TU-1 NM Age ,TU-2 NM Age ,TU-1 NM Sex ,TU-2 NM Sex ,TU-1 NM Action ,TU-2 NM Action ,TU-1 NM Human Contributing Factor ,TU-2 NM Human Contributing Factor ,TU-1 NM Safety Helmet ,TU-2 NM Safety Helmet ,TU-1 NM Alcohol Suspected ,TU-2 NM Alcohol Suspected ,TU-1 NM Marijuana Suspected ,TU-2 NM Marijuana Suspected ,TU-1 NM Other Drugs Suspected ,TU-2 NM Other Drugs Suspected ,Record Status,Processing Status,Last Updated
2594130,City Street,0817,LINCO,HERIT,8/28/2025,14:55:00,LNTRPD,LONE TREE,DOUGLAS,39.53622,-104.87697,LINCOLN AVE,AT,HERITAGE HILLS CIR,On Roadway,At Intersection,Front to Rear,,,,Front to Rear,Rear-End,Not Applicable,,0,0,1,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Uphill,Dry,Daylight,Clear,,W04,West,West,Going Straight,Stopped in Traffic,Passenger Car/Passenger Van,Passenger Car/Passenger Van,No Special Function,No Special Function,,No Automation,TRUE,FALSE,45,45,0,0,0,0,,No Contributing Action,,No Apparent Contributing Factor,,77,,F,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct  9 2025  9:09PM
2589915,County Road,4700,UNIVE,CREST,8/28/2025,15:37:00,DSO,,DOUGLAS,39.54261,-104.93094,S UNIVERSITY BLVD,01328FE,CRESTHILL LN,On Roadway,Non-Intersection,Front to Rear,,,,Front to Rear,Rear-End,Not Applicable,,0,0,3,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Daylight,Clear,,W02,West,West,Going Straight,Stopped in Traffic,SUV,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,45,45,35,0,35,0,Followed Too Closely,No Contributing Action,Looked/Did Not See,No Apparent Contributing Factor,53,68,M,F,Shoulder and Lap Belt,Booster Seat,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 23 2025 12:00AM
2596399,State Highway,083A,61.560,,8/28/2025,16:30:00,PPD,PARKER,DOUGLAS,39.5496,-104.77491,S PARKER RD,00200FS,S CROWN CREST BLVD,On Roadway,Non-Intersection,Front to Rear,Front to Rear,Front to Rear,,Front to Rear,Rear-End,Not Applicable,,0,1,4,0,1,0,0,4,FALSE,FALSE,FALSE,Curve Left,Downhill,Dry,Daylight,Clear,,E04,North,North,Slowing,Stopped in Traffic,Pickup Truck/Utility Van,Passenger Car/Passenger Van,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,45,45,35,0,30,0,Careless Driving ,No Contributing Action,,No Apparent Contributing Factor,22,47,M,F,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 23 2025  6:34PM
2596450,State Highway,083A,61.560,,8/28/2025,16:30:00,PPD,PARKER,DOUGLAS,39.54823,-104.7739,S PARKER RD,00200FS,S CROWN CREST BLVD,On Roadway,Non-Intersection,Front to Rear,Front to Rear,Front to Rear,,Front to Rear,Rear-End,Not Applicable,,0,0,5,0,0,0,0,4,FALSE,FALSE,FALSE,Curve Left,Downhill,Dry,Daylight,Clear,,E04,North,North,Going Straight,Slowing,SUV,Pickup Truck/Utility Van,,No Special Function,,No Automation,FALSE,FALSE,0,45,0,35,0,30,,Careless Driving ,,No Apparent Contributing Factor,26,22,F,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 23 2025 11:04PM
2594818,City Street,0817,BELLW,LINCO,8/28/2025,16:34:00,LNTRPD,LONE TREE,DOUGLAS,39.53622,-104.87697,BELLWETHER LN,AT,LINCOLN AVE,On Roadway,At Intersection,Front to Rear,,,,Front to Rear,Rear-End,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Curve Right,Level,Dry,Daylight,Clear,,N03,North,North,Making Right Turn,Stopped in Traffic,Passenger Car/Passenger Van,Passenger Car/Passenger Van,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,45,45,5,0,0,0,Followed Too Closely,No Contributing Action,No Apparent Contributing Factor,No Apparent Contributing Factor,25,28,M,F,Shoulder and Lap Belt,Shoulder and Lap Belt,Unknown,Unknown,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct  9 2025  9:01PM
2595780,City Street,1038,HILLT,PINED,8/28/2025,18:19:00,PPD,PARKER,DOUGLAS,39.50978,-104.75945,E HILLTOP RD,00030FE,S PINE DR,On Roadway,Non-Intersection,Overturning/Rollover,,,,Overturning/Rollover,Overturning/Rollover,Not Applicable,,0,1,0,0,0,1,0,1,FALSE,FALSE,FALSE,Straight,Uphill,Dry,Daylight,Cloudy,,E03,East,,Going Straight,,Motorcycle,,No Special Function,,No Automation,,FALSE,FALSE,35,0,10,0,0,0,Other Contributing Action (Describe in Narrative),,Other Factor (Describe in Narrative),,55,,M,,N/A (e.g. Motorcycle),,Properly Used,,Helmet Properly used,,Yes - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 21 2025  7:01PM
2589175,City Street,0185,DIAMO,JADEC,8/28/2025,20:00:00,CRPD,CASTLE ROCK,DOUGLAS,39.41928,-104.84271,DIAMOND RIDGE PKWY,AT,JADE CT,On Roadway,At Intersection,Wild Animal,,,,Wild Animal,Wild Animal,Not Applicable,DEER,0,0,2,0,0,0,0,1,FALSE,FALSE,FALSE,Curve Left,Level,Dry,Dark – Lighted,Cloudy,,,West,,Going Straight,,SUV,,No Special Function,,No Automation,,FALSE,FALSE,0,0,0,0,0,0,No Contributing Action,,No Apparent Contributing Factor,,67,,F,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct  9 2025  6:09PM
2594400,City Street,1038,HILLT,PINED,8/29/2025,00:14:00,PPD,PARKER,DOUGLAS,39.50947,-104.7575,E HILLTOP RD,0.25ME,S PINE DR,Ran off left side,Non-Intersection,Curb,Light Pole/Utility Pole,,,Light Pole/Utility Pole,Light Pole/Utility Pole,Not Applicable,,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,Curve Right,Uphill,Dry,Dark – Lighted,Clear,,E01,East,,Negotiating a Curve,,SUV,,No Special Function,,Unknown,,FALSE,FALSE,35,0,35,0,35,0,Careless Driving ,,Asleep or Fatigued,,27,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct  9 2025  8:36PM
2592089,County Road,4700,TRAVO,INSPI,8/29/2025,00:40:00,DSO,,DOUGLAS,39.55115,-104.73712,INSPIRATION DR,01002FE,TRAVOIS TRL,On Roadway,Non-Intersection,Wild Animal,,,,Wild Animal,Wild Animal,Not Applicable,DEER,0,0,2,0,0,0,0,1,FALSE,FALSE,FALSE,Straight,Level,Dry,Dark – Unlighted,Clear,Clear,E01,East,,Going Straight,,SUV,,No Special Function,,No Automation,,FALSE,FALSE,40,0,20,0,20,0,No Contributing Action,,No Apparent Contributing Factor,,41,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 24 2025  3:53PM
2592068,Frontage Road,025A,177.221,L,8/29/2025,03:16:00,DSO,,DOUGLAS,39.316,-104.88463,I-25 W FRONTAGE RD,AT,LOWELL PL,On Roadway,At Intersection,Barricade,Large Rocks or Boulder,,,Large Rocks or Boulder,Barricade,Not Applicable,,0,0,0,0,0,0,0,1,FALSE,TRUE,FALSE,Straight,Level,Muddy,Dark – Unlighted,Clear,,N01,South,,Going Straight,,SUV,,No Special Function,,No Automation,,TRUE,FALSE,45,0,30,0,0,0,Disregarded Other Device/Sign/Markings,,Not Observed,,25,,F,,Shoulder and Lap Belt,,Unknown,,N/A (Cars/Trucks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 16 2025 11:31PM
2594355,City Street,1038,CROWF,STROH,8/29/2025,05:14:00,PPD,PARKER,DOUGLAS,39.47405,-104.7797,S CROWFOOT VALLEY RD,0.50MS,E STROH RD,Ran off right side,Non-Intersection,Barricade,,,,Barricade,Barricade,Not Applicable,,0,0,1,0,0,0,0,1,FALSE,TRUE,FALSE,Curve Right,Level,Dry,Dark – Unlighted,Clear,,N01,North,,Negotiating a Curve,,Pickup Truck/Utility Van,,No Special Function,,No Automation,,FALSE,FALSE,40,0,45,0,40,0,No Contributing Action,,Not Observed,,34,,F,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct  9 2025  8:46PM
2590265,State Highway,085B,194.310,,8/29/2025,06:33:00,DSO,,DOUGLAS,39.48804,-104.99641,HWY 85,00300FN,ASPEN LEAF DR,On Roadway,Non-Intersection,Wild Animal,,,,Wild Animal,Wild Animal,Not Applicable,DEER,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,Straight,Level,Dry,Dawn or Dusk,Clear,,S01,South,,Going Straight,,SUV,,Police,,No Automation,,FALSE,FALSE,55,0,55,0,0,0,No Contributing Action,,No Apparent Contributing Factor,,34,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 27 2025  4:43PM
2592385,County Road,4700,FURRO,TRUEM,8/29/2025,07:15:00,DSO,,DOUGLAS,39.15272,-104.82397,FURROW RD,00528FN,TRUE MOUNTAIN DR,Ran off right side,Non-Intersection,Other Non-Collision,Culvert or Headwall,,,Culvert or Headwall,Wild Animal,Not Applicable,DEER,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,Straight,Downhill,Muddy,Daylight,Clear,,N01,North,,Going Straight,,Passenger Car/Passenger Van,,No Special Function,,No Automation,,FALSE,FALSE,35,0,40,0,0,0,Too Fast for Conditions,,Driver Inexperience,,16,,F,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 21 2025  8:50PM
2590297,County Road,4700,SSGCH,GRAME,8/29/2025,07:48:00,DSO,,DOUGLAS,39.55501,-105.00097,SSG CHRIS FALKEL DR,AT,BLUEPOINT DR,On Roadway,At Intersection,Side to Side-Same Direction,,,,Side to Side-Same Direction,Broadside,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Daylight,Clear,,S01,East,South,Making Left Turn,Going Straight,Passenger Car/Passenger Van,Pickup Truck/Utility Van,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,25,25,10,25,10,25,Improper Turn,No Contributing Action,Age/Driver Ability,No Apparent Contributing Factor,73,46,M,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 24 2025  3:43PM
2596376,City Street,1038,STROH,STROH,8/29/2025,07:59:00,PPD,PARKER,DOUGLAS,39.47848,-104.76218,E STROH RD,AT,S STROH RANCH DR,On Roadway,At Intersection,Front to Side,,,,Front to Side,Broadside,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Daylight,Clear,,W01,North,East,Making Left Turn,Going Straight,Passenger Car/Passenger Van,Passenger Car/Passenger Van,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,40,40,10,40,15,40,Failed to Yield ROW,No Contributing Action,Not Observed,No Apparent Contributing Factor,36,25,F,F,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Improperly Used,No Helmet,No Helmet,No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct  9 2025  8:41PM
2594091,City Street,0817,RIDGE,MONTE,8/29/2025,08:23:00,LNTRPD,LONE TREE,DOUGLAS,39.52521,-104.87248,RIDGEGATE PKWY,AT,MONTECITO WAY,On Roadway,At Intersection,Side to Side-Same Direction,,,,Side to Side-Same Direction,Sideswipe Same Direction,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Daylight,Clear,,N01,North,North,Changing Lanes,Going Straight,Pickup Truck/Utility Van,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,35,35,25,20,25,15,Lane Violation,No Contributing Action,Looked/Did Not See,No Apparent Contributing Factor,44,35,M,F,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Other Method,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 10 2025  6:20PM
