CUID,System Code,Rd_Number,Rd_Section,City_Street,Crash Date,Crash Time,Agency Id,City,County,Latitude,Longitude,Location 1,Link,Location 2,Location,Road Description,First HE,Second HE,Third HE,Fourth HE,MHE,Crash Type,Approach Overtaking Turn,Wild Animal,Number Killed,Number Injured,Injury 00,Injury 01,Injury 02,Injury 03,Injury 04,Total Vehicles,Secondary Crash,Construction Zone,School Zone,Road Contour Curves,Road Contour Grade,Road Condition,Lighting Conditions,Weather Condition,Weather Condition 2,Lane Position,TU-1 Direction,TU-2 Direction,TU-1 Movement,TU-2 Movement,TU-1 Type,TU-2 Type,TU-1 Special Function,TU-2 Special Function,TU-1 Autonomous Vehicle,TU-2 Autonomous Vehicle,TU-1 Hit And Run,TU-2 Hit And Run,TU-1 Speed Limit,TU-2 Speed Limit,TU-1 Estimated Speed,TU-2 Estimated Speed,TU-1 Speed,TU-2 Speed,TU-1 Driver Action,TU-2 Driver Action,TU-1 Human Contributing Factor,TU-2 Human Contributing Factor,TU-1 Age,TU-2 Age,TU-1 Sex ,TU-2 Sex,TU-1 Safety System Available ,TU-2 Safety System Available ,TU-1 Safety restraint Use,TU-2 Safety restraint Use,TU-1 Safety Helmet,TU-2  Safety Helmet,TU-1 Alcohol Suspected,TU-2 Alcohol Suspected,TU-1  Marijuana Suspected,TU-2 Marijuana Suspected,TU-1 Other Drugs Suspected ,TU-2 Other Drugs Suspected ,TU-1 NM Direction,TU-2 NM Direction,TU-1 NM Movement,TU-2 NM Movement,TU-1 NM Facility Available,TU-2 NM Facility Available,TU-1 NM Location ,TU-2 NM Location ,TU-1 NM Type,TU-2 NM Type,TU-1 NM Age ,TU-2 NM Age ,TU-1 NM Sex ,TU-2 NM Sex ,TU-1 NM Action ,TU-2 NM Action ,TU-1 NM Human Contributing Factor ,TU-2 NM Human Contributing Factor ,TU-1 NM Safety Helmet ,TU-2 NM Safety Helmet ,TU-1 NM Alcohol Suspected ,TU-2 NM Alcohol Suspected ,TU-1 NM Marijuana Suspected ,TU-2 NM Marijuana Suspected ,TU-1 NM Other Drugs Suspected ,TU-2 NM Other Drugs Suspected ,Record Status,Processing Status,Last Updated
2597478,County Road,4700,SPRUC,FOXFA,9/20/2025,1:51:00,DSO,,DOUGLAS,39.21203,-104.88638,SPRUCE MOUNTAIN RD,0.95MS,FOX FARM RD,On Roadway,Non-Intersection,Wild Animal,,,,Wild Animal,Wild Animal,Not Applicable,ELK,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,Straight,Level,Dry,Dark – Unlighted,Clear,,N01,North,,Going Straight,,SUV,,No Special Function,,No Automation,,FALSE,FALSE,50,0,50,0,35,0,No Contributing Action,,No Apparent Contributing Factor,,23,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 23 2025 12:13AM
2596696,County Road,4700,COLOR,COUNT,9/20/2025,7:05:00,DSO,,DOUGLAS,39.56605,-104.94172,S COLORADO BLVD,AT,E COUNTY LINE RD,On Roadway,At Intersection,Front to Front,Front to Side,,,Front to Front,Broadside,Not Applicable,,0,0,3,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Daylight,Clear,Clear,E01,East,North,Going Straight,Going Straight,SUV,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,45,45,30,25,30,25,Failed to Stop at Signal,No Contributing Action,Distracted - Other Interior,No Apparent Contributing Factor,28,58,M,M,Child Restraint – Forward Facing,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 21 2025  9:45PM
2599828,County Road,4700,CENTE,BROAD,9/20/2025,19:52:00,DSO,,DOUGLAS,39.56154,-104.98992,CENTENNIAL BLVD,00845FW,S BROADWAY,On Roadway,Driveway Access Related,Front to Side,,,,Front to Side,Broadside,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Wet,Dark – Lighted,Rain,,E01,South,East,Making Left Turn,Going Straight,Passenger Car/Passenger Van,Passenger Car/Passenger Van,No Special Function,No Special Function,Partial Automation,Partial Automation,FALSE,FALSE,35,35,5,25,5,25,Failed to Yield ROW,No Contributing Action,Not Observed,No Apparent Contributing Factor,64,30,F,F,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 28 2025  5:56PM
2598720,State Highway,085B,198.534,,9/20/2025,21:49:00,DSO,,DOUGLAS,39.53817,-105.03641,HWY 85,AT,W HIGHLANDS RANCH PKWY,Ran off right side,At Intersection,Curb,Curb,Embankment,,Embankment,Embankment,Not Applicable,,0,2,1,0,2,0,0,1,FALSE,FALSE,FALSE,Straight,Level,Dry,Dark – Lighted,Clear,Clear,WRS,North,,Going Straight,,SUV,,No Special Function,,No Automation,,TRUE,FALSE,45,0,80,0,0,0,Reckless Driving,,Evading Law Enforcement Officer,,16,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 23 2025  4:08PM
2596404,County Road,4700,HIGHL,WESTR,9/21/2025,7:41:00,DSO,,DOUGLAS,39.53336,-105.02228,W HIGHLANDS RANCH PKWY,00045FW,WESTRIDGE VILLAGE PKWY,On Roadway,Intersection Related,Front to Rear,,,,Front to Rear,Rear-End,Not Applicable,,0,0,5,0,0,0,0,2,FALSE,FALSE,FALSE,Curve Left,Level,Dry,Daylight,Clear,,E02,East,East,Going Straight,Stopped in Traffic,Passenger Car/Passenger Van,SUV,No Special Function,No Special Function,No Automation,No Automation,TRUE,FALSE,45,45,40,0,0,0,Speeding,No Contributing Action,Not Observed,No Apparent Contributing Factor,51,76,M,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),Yes - Observed,No - Observed,Unknown,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 24 2025  4:00PM
2597806,County Road,4700,DELBE,BUCKB,9/21/2025,16:37:00,DSO,,DOUGLAS,39.53604,-104.66123,N DELBERT RD,AT,BUCKBOARD RD,On Roadway,At Intersection,Front to Side,,,,Front to Side,Broadside,Not Applicable,,0,4,0,0,4,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Daylight,Clear,,S01,East,South,Going Straight,Going Straight,Passenger Car/Passenger Van,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,25,45,45,46,20,50,Disregard Stop Sign,No Contributing Action,Asleep or Fatigued,No Apparent Contributing Factor,18,49,M,F,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 22 2025  4:27PM
2597019,County Road,4700,QUEBE,DUTCH,9/22/2025,6:08:00,DSO,,DOUGLAS,39.54061,-104.91462,S QUEBEC ST,00671FS,E DUTCH CREEK ST,On Roadway,Non-Intersection,Wild Animal,,,,Wild Animal,Wild Animal,Not Applicable,DEER,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,Curve Right,Downhill,Dry,Dawn or Dusk,Cloudy,,N02,North,,Going Straight,,SUV,,No Special Function,,No Automation,,FALSE,FALSE,45,0,48,0,48,0,No Contributing Action,,No Apparent Contributing Factor,,49,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 22 2025 11:51PM
2598731,County Road,4700,TOMAH,FRONT,9/22/2025,13:53:00,DSO,,DOUGLAS,39.29709,-104.89207,TOMAH RD,00091FW,I-25 W FRONTAGE RD,Center median/ Island,Railroad Crossing Related,Railroad Crossing Equipment,,,,Railroad Crossing Equipment,Railroad Crossing Equipment,Not Applicable,,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,Straight,Uphill,Dry,Daylight,Clear,,W01,West,,Weaving,,SUV,,No Special Function,,Driver Assistance,,FALSE,FALSE,50,0,15,0,0,0,Other Contributing Action (Describe in Narrative),,Medical,,79,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 14 2025  5:20PM
2597826,County Road,4700,CROWF,LONGS,9/23/2025,6:31:00,DSO,,DOUGLAS,39.42561,-104.8268,CROWFOOT VALLEY RD,00887FSW,LONGSTORY AVE,On Roadway,Non-Intersection,Wild Animal,,,,Wild Animal,Wild Animal,Not Applicable,DEER,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,Straight,Level,Wet,Dark – Unlighted,Rain,,S01,Southwest,,Going Straight,,SUV,,No Special Function,,Driver Assistance,,FALSE,FALSE,50,0,50,0,50,0,No Contributing Action,,No Apparent Contributing Factor,,21,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 21 2025 12:09AM
2597054,County Road,4700,COUNT,COUNT,9/23/2025,11:05:00,DSO,,DOUGLAS,39.56517,-104.92003,COUNTY LINE RD,AT,COUNTY LINE PL,On Roadway,At Intersection,Side to Side-Same Direction,,,,Side to Side-Same Direction,Sideswipe Same Direction,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Wet,Daylight,Rain,,N01,North,North,Making Left Turn,Making Right Turn,"Medium/Heavy Trucks, GVWR/GCWR 10,001 or Over",Passenger Car/Passenger Van,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,25,25,5,0,0,0,Other Contributing Action (Describe in Narrative),Other Contributing Action (Describe in Narrative),Other Factor (Describe in Narrative),Other Factor (Describe in Narrative),34,29,M,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 17 2025 12:43AM
2598373,County Road,4700,TOMAH,PARKE,9/24/2025,9:30:00,DSO,,DOUGLAS,39.52196,-104.69883,TOMAHAWK RD,AT,E PARKER RD,On Roadway,At Intersection,Front to Side,,,,Front to Side,Broadside,Not Applicable,,0,0,3,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Wet,Daylight,Cloudy,,W01,North,West,Going Straight,Going Straight,Passenger Car/Passenger Van,Pickup Truck/Utility Van,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,40,35,10,10,5,5,Failed to Yield ROW,No Contributing Action,Not Observed,No Apparent Contributing Factor,70,76,F,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 24 2025  3:49PM
2598355,County Road,4700,BUSIN,POPLA,9/24/2025,14:57:00,DSO,,DOUGLAS,39.56068,-104.90876,BUSINESS CENTER DR,01774FW,POPLAR WAY,On Roadway,Driveway Access Related,Front to Side,,,,Front to Side,Broadside,Not Applicable,,0,1,1,1,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Daylight,Clear,,W01,South,West,Making Left Turn,Going Straight,Pickup Truck/Utility Van,SUV,No Special Function,No Special Function,Partial Automation,Partial Automation,FALSE,FALSE,35,35,10,35,10,35,Improper Turn,No Contributing Action,Looked/Did Not See,No Apparent Contributing Factor,35,75,M,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 21 2025 12:07AM
2598749,County Road,4700,PRADE,CROWF,9/24/2025,16:27:00,DSO,,DOUGLAS,39.44936,-104.80741,PRADERA PKWY,AT,CROWFOOT VALLEY RD,On Roadway,At Intersection,Front to Rear,,,,Front to Rear,Rear-End,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Downhill,Dry,Daylight,Clear,,W01,West,West,Going Straight,Stopped in Traffic,Passenger Car/Passenger Van,SUV,No Special Function,No Special Function,No Automation,Driver Assistance,FALSE,FALSE,40,40,5,0,5,0,Followed Too Closely,No Contributing Action,Distracted - Other Exterior,No Apparent Contributing Factor,17,40,F,F,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 21 2025  9:38PM
2597827,County Road,4700,COUNT,HOLLY,9/24/2025,17:05:00,DSO,,DOUGLAS,39.56604,-104.92306,E COUNTY LINE RD,AT,S HOLLY ST,On Roadway,At Intersection,Side to Side-Same Direction,,,,Side to Side-Same Direction,Broadside,Not Applicable,,0,0,3,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Daylight,Clear,Clear,S01,South,West,Making Left Turn,Making Left Turn,Passenger Car/Passenger Van,SUV,No Special Function,No Special Function,No Automation,No Automation,TRUE,FALSE,30,30,15,15,15,15,Improper Turn,No Contributing Action,,No Apparent Contributing Factor,,42,U,M,,Child Restraint – Forward Facing,Unknown,Properly Used,Unknown (Describe in Narrative),N/A (Cars/Trucks),,,Unknown,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 21 2025 12:16AM
2600748,County Road,4700,CASTL,LAGAE,9/24/2025,19:30:00,DSO,,DOUGLAS,39.46933,-104.88278,W CASTLE PINES PKWY,AT,LAGAE RD,On Roadway,Non-Intersection,Wild Animal,,,,Wild Animal,Wild Animal,Not Applicable,DEER,0,0,2,0,0,0,0,1,FALSE,FALSE,FALSE,Curve Right,Uphill,Dry,Dawn or Dusk,Clear,,W02,West,,Going Straight,,SUV,,No Special Function,,No Automation,,FALSE,FALSE,40,0,30,0,30,0,No Contributing Action,,Looked/Did Not See,,84,,F,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct 24 2025  3:55PM
