Document Nbr,Crash Date,Crash Year,Crash Military Time,Crash Severity,K_People,A_People,B_People,C_People,Collision Type,Weather Condition,Light Condition,Roadway Surface Condition,Roadway Alignment,Roadway Description,Intersection Type,RTE Name,SYSTEM,Node,RNS MP,x,y,Physical Juris Name,Pedestrian?,Bike?,Alcohol?,Speed?,Hitrun?,Motorcycle?,Night?,Distracted?,Drowsy?,Drug Related?,Young?,Senior?,Unrestrained?,School Zone,Work Zone Related,Traffic Control Type,Traffic Control Status,Functional Class,Area Type,Facility Type,Ownership,First Harmful Event,First Harmful Event Loc,Persons Injured,Pedestrians Killed,Pedestrians Injured,_source_state,_co_system_code,_co_agency_id,_co_rd_number,_co_location1,_co_location2,_co_city,_source_file
1259729,1/3/2025,2025,1538,O,0,0,0,0,Rear End,Clear,Daylight,Dry,Straight/Level,Non-Intersection,Non-Intersection,I-25,Interstate,,167.698,-104.85111,39.19151,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,Front to Rear,On Roadway,0,,,colorado,Interstate Highway,CSP,025A,I-25,MM 167.698,,crashlens_u5p9stw5.csv
1268905,1/3/2025,2025,1712,O,0,0,0,0,Angle,Clear,Dark – Lighted,Dry,Straight/Level,At Intersection,Intersection,S PARKER RD,Primary,E WOODMAN DR & S PARKER RD,62.255,-104.77771,39.55452,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,,Front to Side,On Roadway,0,,,colorado,State Highway,PPD,083A,S PARKER RD,E WOODMAN DR,PARKER,crashlens_u5p9stw5.csv
1260363,1/3/2025,2025,1727,C,0,0,0,1,Angle,Clear,Dark – Unlighted,Dry,Straight/Level,At Intersection,Intersection,MACANTA BLVD,NonVDOT secondary,CROWFOOT VALLEY RD & MACANTA BLVD,,-104.83397,39.41957,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,,,,,,,Front to Side,On Roadway,1,,,colorado,County Road,DSO,4700,MACANTA BLVD,CROWFOOT VALLEY RD,,crashlens_u5p9stw5.csv
1544530,1/3/2025,2025,1827,O,0,0,0,0,Rear End,Clear,Dark – Lighted,Dry,Curve Right,Ramp,Ramp,C-470 EB ON RAMP SLIP,Primary,,19.661,-104.9864,39.56403,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,Front to Rear,On Roadway,0,,,colorado,State Highway,CSP,470A,C-470 EB ON RAMP SLIP,S BROADWAY,,crashlens_u5p9stw5.csv
1261383,1/3/2025,2025,1900,O,0,0,0,0,Other Animal,Clear,Dark – Unlighted,Dry,Straight/Level,Non-Intersection,Non-Intersection,HWY 86,Primary,,4.016,-104.80411,39.39088,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,Wild Animal,On Roadway,0,,,colorado,State Highway,CSP,086A,HWY 86,MM 4.016,,crashlens_u5p9stw5.csv
1269370,1/3/2025,2025,2018,O,0,0,0,0,Rear End,Clear,Dark – Lighted,Dry,Downhill,At Intersection,Intersection,S MOTSENBOCKER RD,NonVDOT secondary,E STROH RD & S MOTSENBOCKER RD,,-104.77485,39.47849,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,Front to Rear,On Roadway,0,,,colorado,City Street,PPD,1038,S MOTSENBOCKER RD,E STROH RD,PARKER,crashlens_u5p9stw5.csv
1262211,1/3/2025,2025,2130,O,0,0,0,0,Other,Clear,Dark – Unlighted,Dry,Straight/Level,At Intersection,Intersection,STARWOOD LN,NonVDOT secondary,N ROSEBUD PL & STARWOOD LN,,-104.797079,39.559404,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,Parked Motor Vehicle,On Roadway,0,,,colorado,County Road,DSO,4700,STARWOOD LN,N ROSEBUD PL,,crashlens_u5p9stw5.csv
1543990,1/3/2025,2025,2131,C,0,0,0,2,Rear End,Clear,Dark – Lighted,Dry,Downhill,Ramp,Ramp,I-25,Interstate,,184.096,-104.86738,39.41101,DOUGLAS,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,,Front to Rear,On Roadway,2,,,colorado,Interstate Highway,CSP,025A,I-25 SB ON RAMP,MM 184.096,,crashlens_u5p9stw5.csv
1266630,1/3/2025,2025,2358,O,0,0,0,0,Sideswipe - Same Direction,Clear,Dark – Unlighted,Dry,"Curve Left, Uphill",At Intersection,Intersection,RIDGEGATE PKWY,NonVDOT secondary,LYRIC ST & RIDGEGATE PKWY,,-104.851036,39.520761,DOUGLAS,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,,,Side to Side-Same Direction,On Roadway,0,,,colorado,City Street,LNTRPD,0817,RIDGEGATE PKWY,LYRIC ST,LONE TREE,crashlens_u5p9stw5.csv
1262458,1/4/2025,2025,0550,O,0,0,0,0,Rear End,Fog,Dark – Unlighted,Dry,Straight/Level,Non-Intersection,Non-Intersection,PINE DR,NonVDOT secondary,,,-104.755575,39.554906,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,Front to Rear,On Roadway,0,,,colorado,County Road,DSO,4700,PINE DR,INSPIRATION DR,,crashlens_u5p9stw5.csv
1268364,1/4/2025,2025,0550,O,0,0,0,0,Rear End,Fog,Dark – Unlighted,Dry,Straight/Level,Non-Intersection,Non-Intersection,PINE DR,NonVDOT secondary,,,-104.755568,39.554916,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,Front to Rear,On Roadway,0,,,colorado,County Road,DSO,4700,PINE DR,INSPIRATION DR,,crashlens_u5p9stw5.csv
1269510,1/4/2025,2025,0550,O,0,0,0,0,Rear End,Fog,Dark – Unlighted,Dry,Straight/Level,Non-Intersection,Non-Intersection,PINE DR,NonVDOT secondary,,,-104.7558,39.55005,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,Front to Rear,On Roadway,0,,,colorado,County Road,DSO,4700,PINE DR,INSPIRATION DR,,crashlens_u5p9stw5.csv
1265057,1/4/2025,2025,1117,C,0,0,0,1,Angle,Cloudy,Daylight,Dry,Straight/Level,At Intersection,Intersection,S BROADWAY,Primary,C-470 EB RAMPS & S BROADWAY,19.606,-104.987459,39.563757,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,Front to Front,On Roadway,1,,,colorado,State Highway,CSP,470A,S BROADWAY,C-470 EB RAMPS,,crashlens_u5p9stw5.csv
1264852,1/4/2025,2025,1319,O,0,0,0,0,Rear End,Rain,Daylight,Dry,"Curve Right, Uphill",Ramp-related,Ramp,C-470,Primary,,25.252,-104.884607,39.561384,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,Front to Rear,On Roadway,0,,,colorado,State Highway,LNTRPD,470A,C-470,EB OFF RAMP EXT TO YOSEMITE ST,LONE TREE,crashlens_u5p9stw5.csv
1265700,1/4/2025,2025,1542,O,0,0,0,0,Sideswipe - Same Direction,Fog,Dawn or Dusk,Dry,"Curve Right, Downhill",Non-Intersection,Non-Intersection,RIDGEGATE PKWY,NonVDOT secondary,,,-104.842583,39.518239,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,Other Non-Collision,On Roadway,0,,,colorado,City Street,LNTRPD,0817,RIDGEGATE PKWY,LYRIC ST,LONE TREE,crashlens_u5p9stw5.csv
1259937,1/4/2025,2025,1721,B,0,0,1,0,Sideswipe - Same Direction,Fog,Dark – Lighted,Dry,Straight/Level,Intersection Related,Intersection,S QUEBEC ST,NonVDOT secondary,E LINCOLN AVE & S QUEBEC ST,,-104.913075,39.542382,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,Front to Side,On Roadway,1,,,colorado,County Road,DSO,4700,S QUEBEC ST,E LINCOLN AVE,,crashlens_u5p9stw5.csv
1263106,1/4/2025,2025,1800,O,0,0,0,0,Fixed Object - Off Road,Cloudy,Dark – Lighted,Icy,Uphill,Non-Intersection,Non-Intersection,C-470,Primary,,20.130,-104.97795,39.56537,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,,Other Non-Collision,Ran off right side,0,,,colorado,State Highway,CSP,470A,C-470,MM 20.13,,crashlens_u5p9stw5.csv
