Document Nbr,Crash Date,Crash Year,Crash Military Time,Crash Severity,K_People,A_People,B_People,C_People,Collision Type,Weather Condition,Light Condition,Roadway Surface Condition,Roadway Alignment,Roadway Description,Intersection Type,RTE Name,SYSTEM,Node,RNS MP,x,y,Physical Juris Name,Pedestrian?,Bike?,Alcohol?,Speed?,Hitrun?,Motorcycle?,Night?,Distracted?,Drowsy?,Drug Related?,Young?,Senior?,Unrestrained?,School Zone,Work Zone Related,Traffic Control Type,Traffic Control Status,Functional Class,Area Type,Facility Type,Ownership,First Harmful Event,First Harmful Event Loc,Relation To Roadway,Vehicle Count,Persons Injured,Pedestrians Killed,Pedestrians Injured,_source_state,_co_system_code,_co_agency_id,_co_rd_number,_co_location1,_co_location2,_co_city,_source_file,_co_total_vehicles,_co_mhe,_co_crash_type,_co_link,_co_second_he,_co_third_he,_co_wild_animal,_co_secondary_crash,_co_weather2,_co_lane_position,_co_injury00_uninjured,_co_tu1_direction,_co_tu1_movement,_co_tu1_vehicle_type,_co_tu1_speed_limit,_co_tu1_estimated_speed,_co_tu1_stated_speed,_co_tu1_driver_action,_co_tu1_human_factor,_co_tu1_age,_co_tu1_sex,_co_tu2_direction,_co_tu2_movement,_co_tu2_vehicle_type,_co_tu2_speed_limit,_co_tu2_estimated_speed,_co_tu2_stated_speed,_co_tu2_driver_action,_co_tu2_human_factor,_co_tu2_age,_co_tu2_sex,_co_nm1_type,_co_nm1_age,_co_nm1_sex,_co_nm1_action,_co_nm1_movement,_co_nm1_location,_co_nm1_facility,_co_nm1_contributing_factor,_co_nm2_type,_co_nm2_age,_co_nm2_sex,_co_nm2_action,_co_nm2_movement,_co_nm2_location,_co_nm2_facility,_co_nm2_contributing_factor
2430809,6/26/2025,2025,1505,O,0,0,0,0,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,3. Grade - Straight,"1. Two-Way, Not Divided",4. Four Approaches,PARK MEADOWS DR,NonVDOT secondary,LINCOLN AVE & PARK MEADOWS DR,,-104.873,39.5363,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,3. City or Town Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,9. Within Intersection,2,0,0,0,colorado,City Street,LNTRPD,0817,PARK MEADOWS DR,LINCOLN AVE,LONE TREE,crashlens_u5p9stw5.csv,2,Front to Rear,Rear-End,AT,,,,FALSE,,S02,2,South,Slowing,SUV,40,15,15,Followed Too Closely,Driver Unfamiliar With Area,47,F,South,Stopped in Traffic,SUV,40,3,3,No Contributing Action,No Apparent Contributing Factor,38,M,,,,,,,,,,,,,,,,
2432122,6/26/2025,2025,1655,O,0,0,0,0,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Straight - Level,"1. Two-Way, Not Divided",4. Four Approaches,YOSEMITE ST,NonVDOT secondary,PARK MEADOWS DR & YOSEMITE ST,,-104.88333,39.55595,DOUGLAS,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,3. City or Town Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,9. Within Intersection,2,0,0,0,colorado,City Street,LNTRPD,0817,YOSEMITE ST,PARK MEADOWS DR,LONE TREE,crashlens_u5p9stw5.csv,2,Side to Side-Same Direction,Overtaking Turn,AT,,,,FALSE,,W01,2,South,Making Left Turn,Passenger Car/Passenger Van,40,30,0,Impeded Traffic,Aggressive Driving,55,M,South,Passing,SUV,40,30,0,Improper Passing on Left,Distracted - Other Exterior,31,F,,,,,,,,,,,,,,,,
2432562,6/26/2025,2025,1748,O,0,0,0,0,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,2. Curve - Level,"1. Two-Way, Not Divided",5. Roundabout,S TWENTY MILE RD,NonVDOT secondary,E LINCOLN MEADOWS PKWY & S TWENTY MILE RD,,-104.77558,39.5336,DOUGLAS,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,3. City or Town Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,9. Within Intersection,2,0,0,0,colorado,City Street,PPD,1038,S TWENTY MILE RD,E LINCOLN MEADOWS PKWY,PARKER,crashlens_u5p9stw5.csv,2,Side to Side-Same Direction,Sideswipe Same Direction,AT,,,,FALSE,,E02,2,East,Stopped in Traffic,Pickup Truck/Utility Van,0,0,0,,,,,East,Making Right Turn,SUV,40,10,10,No Contributing Action,No Apparent Contributing Factor,37,F,,,,,,,,,,,,,,,,
2426610,6/26/2025,2025,2047,O,0,0,0,0,10. Deer/Animal,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,HWY 83,Primary,,51.428,-104.75674,39.40044,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,1. State Hwy Agency,21. Animal,1. On Roadway,8. Non-Intersection,1,0,0,0,colorado,State Highway,CSP,083A,HWY 83,MM 51.428,,crashlens_u5p9stw5.csv,1,Wild Animal,Wild Animal,AT,,,DEER,FALSE,,S01,1,South,Going Straight,Passenger Car/Passenger Van,55,55,55,No Contributing Action,No Apparent Contributing Factor,26,F,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
2428841,6/26/2025,2025,2325,C,0,0,0,4,1. Rear End,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,I-25,Interstate,,190.563,-104.87442,39.50216,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,1. State Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,8. Non-Intersection,2,4,0,0,colorado,Interstate Highway,CSP,025A,I-25 NB,MM 190.563,,crashlens_u5p9stw5.csv,2,Front to Rear,Rear-End,AT,,,,FALSE,,N04,0,North,Swerve/Avoidance,SUV,75,70,75,Lane Violation,Driver Unfamiliar With Area,56,M,North,Going Straight,SUV,75,70,65,No Contributing Action,No Apparent Contributing Factor,22,F,,,,,,,,,,,,,,,,
2433471,6/27/2025,2025,1009,O,0,0,0,0,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,E PINE LN,Primary,E PINE LN & S PARKER RD,61.448,-104.77196,39.54416,DOUGLAS,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,,,,,,1. State Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,9. Within Intersection,2,0,0,0,colorado,State Highway,PPD,083A,E PINE LN,S PARKER RD,PARKER,crashlens_u5p9stw5.csv,2,Front to Rear,Rear-End,AT,,,,FALSE,,N03,2,North,Going Straight,Pickup Truck/Utility Van,45,10,10,Followed Too Closely,Distracted - Manipulating Vehicle Control,19,M,North,Stopped in Traffic,Pickup Truck/Utility Van,45,0,0,No Contributing Action,No Apparent Contributing Factor,73,M,,,,,,,,,,,,,,,,
2427049,6/27/2025,2025,1338,O,0,0,0,0,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,3. Grade - Straight,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,C-470,Primary,,23.034,-104.92487,39.56253,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,1. State Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,8. Non-Intersection,2,0,0,0,colorado,State Highway,CSP,470A,C-470,MM 23.034,,crashlens_u5p9stw5.csv,2,Front to Rear,Rear-End,AT,,,,FALSE,,E02,3,East,Slowing,Passenger Car/Passenger Van,65,35,65,Careless Driving,Looked/Did Not See,29,M,East,Slowing,SUV,65,10,30,No Contributing Action,No Apparent Contributing Factor,50,F,,,,,,,,,,,,,,,,
2432576,6/27/2025,2025,1338,O,0,0,0,0,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,PARKER RD,Primary,PARKER RD & WOODMAN DR,62.255,-104.77784,39.55459,DOUGLAS,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,1. State Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,9. Within Intersection,2,0,0,0,colorado,State Highway,PPD,083A,PARKER RD,WOODMAN DR,PARKER,crashlens_u5p9stw5.csv,2,Front to Side,Broadside,AT,,,,FALSE,,S03,4,South,Going Straight,SUV,45,45,0,Failed to Stop at Signal,Distracted - Other Interior,39,F,East,Making Left Turn,Passenger Car/Passenger Van,45,20,0,No Contributing Action,No Apparent Contributing Factor,38,M,,,,,,,,,,,,,,,,
2428596,6/27/2025,2025,1345,O,0,0,0,0,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,C-470,Primary,,20.412,-104.97274,39.56455,DOUGLAS,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,,,,,,1. State Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,8. Non-Intersection,2,0,0,0,colorado,State Highway,CSP,470A,C-470,MM 20.412,,crashlens_u5p9stw5.csv,2,Front to Rear,Rear-End,AT,,,,FALSE,,E02,3,East,Slowing,SUV,65,25,55,Followed Too Closely,Driver Inexperience,18,F,East,Stopped in Traffic,SUV,65,0,0,No Contributing Action,No Apparent Contributing Factor,74,F,,,,,,,,,,,,,,,,
2433463,6/27/2025,2025,1628,O,0,0,0,0,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,S PARKER RD,Primary,E PINE LANE AVE & S PARKER RD,61.470,-104.77228,39.54488,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,1. State Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,10. Intersection Related - Within 150 Feet,2,0,0,0,colorado,State Highway,PPD,083A,S PARKER RD,E PINE LANE AVE,PARKER,crashlens_u5p9stw5.csv,2,Curb,Rear-End,00500FN,Curb,,,FALSE,,N03,3,North,Going Straight,Pickup Truck/Utility Van,45,45,45,Careless Driving,,43,M,North,Slowing,SUV,45,15,15,No Contributing Action,No Apparent Contributing Factor,60,M,,,,,,,,,,,,,,,,
2431130,6/27/2025,2025,1643,O,0,0,0,0,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,I-25,Interstate,,193.170,-104.86885,39.53971,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,1. State Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,8. Non-Intersection,2,0,0,0,colorado,Interstate Highway,LNTRPD,025A,I-25 SB,MM 193.170,LONE TREE,crashlens_u5p9stw5.csv,2,Side to Side-Same Direction,Sideswipe Same Direction,AT,,,,FALSE,,S04,3,South,Changing Lanes,Pickup Truck/Utility Van,65,65,65,Lane Violation,Looked/Did Not See,22,M,South,Changing Lanes,SUV,65,65,65,Lane Violation,Looked/Did Not See,53,M,,,,,,,,,,,,,,,,
2432110,6/27/2025,2025,1723,C,0,0,0,1,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,I-25,Interstate,,192.871,-104.8681,39.5336,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,1. State Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,8. Non-Intersection,2,1,0,0,colorado,Interstate Highway,LNTRPD,025A,I-25 NB,LINCOLN AVE,LONE TREE,crashlens_u5p9stw5.csv,2,Front to Rear,Rear-End,AT,,,,FALSE,,N04,3,North,Slowing,SUV,65,30,0,Followed Too Closely,Looked/Did Not See,47,F,North,Stopped in Traffic,SUV,65,0,0,No Contributing Action,No Apparent Contributing Factor,50,F,,,,,,,,,,,,,,,,
2431909,6/27/2025,2025,1727,O,0,0,0,0,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,2. Curve - Level,"1. Two-Way, Not Divided",2. Two Approaches,PARK MEADOWS DR,NonVDOT secondary,,,-104.87208,39.54949,DOUGLAS,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,,,,3. City or Town Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,8. Non-Intersection,2,0,0,0,colorado,City Street,LNTRPD,0817,PARK MEADOWS DR,STATION WAY,LONE TREE,crashlens_u5p9stw5.csv,2,Front to Rear,Rear-End,01000FN,,,,FALSE,,N01,2,South,Making Left Turn,Passenger Car/Passenger Van,40,10,10,Failed to Yield ROW,Looked/Did Not See,27,F,South,Going Straight,Passenger Car/Passenger Van,40,15,15,No Contributing Action,No Apparent Contributing Factor,17,F,,,,,,,,,,,,,,,,
2426891,6/27/2025,2025,1919,O,0,0,0,0,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Straight - Level,"1. Two-Way, Not Divided",1. Not at Intersection,E PARKER RD,NonVDOT secondary,,,-104.70382,39.52201,DOUGLAS,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,,,,,,2. County Hwy Agency,8. Fence,4. Roadside,8. Non-Intersection,1,0,0,0,colorado,County Road,DSO,4700,E PARKER RD,DEER HAVEN TRL,,crashlens_u5p9stw5.csv,1,Fence,Fence,AT,Tree,,,FALSE,,WRS,1,East,Going Straight,Pickup Truck/Utility Van,35,35,35,Careless Driving,Not Observed,65,M,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
2428915,6/27/2025,2025,2147,O,0,0,0,0,10. Deer/Animal,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,HWY 86,Primary,,11.546,-104.67513,39.36594,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,1. State Hwy Agency,21. Animal,1. On Roadway,8. Non-Intersection,1,0,0,0,colorado,State Highway,CSP,086A,HWY 86,MM 11.546,,crashlens_u5p9stw5.csv,1,Wild Animal,Wild Animal,AT,,,DEER,FALSE,,W01,2,West,Going Straight,Passenger Car/Passenger Van,55,55,0,No Contributing Action,No Apparent Contributing Factor,28,F,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
2428625,6/27/2025,2025,2255,O,0,0,0,0,1. Rear End,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,I-25,Interstate,,187.094,-104.87555,39.45189,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,1. State Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,8. Non-Intersection,2,0,0,0,colorado,Interstate Highway,CSP,025A,I-25 SB,MM 187.094,,crashlens_u5p9stw5.csv,2,Front to Rear,Rear-End,AT,,,,FALSE,,S01,2,South,Weaving,Passenger Car/Passenger Van,75,55,0,Other Contributing Action (Describe in Narrative),Other Factor (Describe in Narrative),24,F,South,Slowing,SUV,75,75,75,No Contributing Action,No Apparent Contributing Factor,19,F,,,,,,,,,,,,,,,,
2433740,6/28/2025,2025,0539,O,0,0,0,0,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Straight - Level,"1. Two-Way, Not Divided",4. Four Approaches,E HILLTOP RD,NonVDOT secondary,E HILLTOP RD & E TALLMAN DR,,-104.75653,39.50411,DOUGLAS,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,,,,,,3. City or Town Hwy Agency,27. Curb,4. Roadside,9. Within Intersection,1,0,0,0,colorado,City Street,PPD,1038,E HILLTOP RD,E TALLMAN DR,PARKER,crashlens_u5p9stw5.csv,1,Curb,Curb,AT,Fence,,,FALSE,,,1,North,Making Left Turn,Passenger Car/Passenger Van,35,70,34,Careless Driving,Asleep or Fatigued,20,M,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
