CRASH DATETIME,DAY OF WEEK CODE,DAY OF WEEK DESCRIPTION,CRASH CLASSIFICATION CODE,CRASH CLASSIFICATION DESCRIPTION,COLLISION ON PRIVATE PROPERTY,PEDESTRIAN INVOLVED,MANNER OF IMPACT CODE,MANNER OF IMPACT DESCRIPTION,ALCOHOL INVOLVED,DRUG INVOLVED,ROAD SURFACE CODE,ROAD SURFACE DESCRIPTION,LIGHTING CONDITION CODE,LIGHTING CONDITION DESCRIPTION,WEATHER 1 CODE,WEATHER 1 DESCRIPTION,WEATHER 2 CODE,WEATHER 2 DESCRIPTION,SEATBELT USED,MOTORCYCLE INVOLVED,MOTORCYCLE HELMET USED,BICYCLED INVOLVED,BICYCLE HELMET USED,LATITUDE,LONGITUDE,PRIMARY CONTRIBUTING CIRCUMSTANCE CODE,PRIMARY CONTRIBUTING CIRCUMSTANCE DESCRIPTION,SCHOOL BUS INVOLVED CODE,SCHOOL BUS INVOLVED DESCRIPTION,WORK ZONE,WORK ZONE LOCATION CODE,WORK ZONE LOCATION DESCRIPTION,WORK ZONE TYPE CODE,WORK ZONE TYPE DESCRIPTION,WORKERS PRESENT,the_geom,COUNTY CODE,COUNTY NAME,YEAR
2015 Oct 05 11:53:00 AM,2,Monday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.61911,-75.69399,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.6939899999 39.619110000057),N,New Castle,"2,015"
2015 Sep 03 12:16:00 PM,5,Thursday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.7485,-75.57867,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.578669999705 39.748499999844),N,New Castle,"2,015"
2013 Apr 24 03:28:00 PM,4,Wednesday,1,Non-Reportable,Y,N,0,Not a collision between two vehicles,N,Y,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.59668,-75.20575,10,Driving under the influence,0,No,N,NA,NA,NA,NA,N,POINT (-75.205749999764 38.596679999945),S,Sussex,"2,013"
2012 Jul 09 02:59:00 PM,2,Monday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.59823,-75.31638,12,Driving in a careless or reckless manner,0,No,N,NA,NA,NA,NA,N,POINT (-75.316380000066 38.598229999903),S,Sussex,"2,012"
2009 Nov 23 09:44:00 PM,2,Monday,2,Property Damage Only,N,N,3,Angle,N,N,2,Wet,4,Dark-Lighted,4,Rain,NA,NA,Y,N,N,N,N,39.7521631,-75.580108,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.580108000354 39.752163100018),N,New Castle,"2,009"
2015 Jun 02 08:07:00 PM,3,Tuesday,3,Personal Injury Crash,N,N,3,Angle,N,N,2,Wet,1,Daylight,4,Rain,NA,NA,Y,N,N,N,N,39.67978,-75.6572,12,Driving in a careless or reckless manner,0,No,N,NA,NA,NA,NA,N,POINT (-75.657199999597 39.679779999655),N,New Castle,"2,015"
2014 Jun 10 04:56:00 PM,3,Tuesday,2,Property Damage Only,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.71324,-75.64672,2,Failed to yield right of way,0,No,N,NA,NA,NA,NA,N,POINT (-75.646720000168 39.713240000102),N,New Castle,"2,014"
2013 May 30 07:55:00 PM,5,Thursday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.10807,-75.53993,8,Following too close,0,No,N,NA,NA,NA,NA,N,POINT (-75.539930000364 39.108070000185),K,Kent,"2,013"
2011 Nov 23 06:10:00 PM,4,Wednesday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,2,Cloudy,NA,NA,Y,N,N,N,N,39.66542,-75.60994,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.60993999991 39.665420000107),N,New Castle,"2,011"
2012 Jul 21 04:45:00 PM,7,Saturday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,2,Cloudy,NA,NA,Y,N,N,N,N,39.19233,-75.54478,8,Following too close,0,No,N,NA,NA,NA,NA,N,POINT (-75.544780000091 39.192330000187),K,Kent,"2,012"
